    1/resolution    CC
    0.039728524     0.859817819
    0.050300021     0.858808351
    0.057746466     0.859161156
    0.063367013     0.859042133
    0.068285374     0.858261574
    0.072446940     0.858292090
    0.076556424     0.856525110
    0.079647747     0.855800710
    0.082739692     0.853868126
    0.086142566     0.851825914
    0.088771798     0.850652192
    0.091251196     0.847536809
    0.093567516     0.844090615
    0.096095684     0.841004502
    0.098159545     0.837504176
    0.100547220     0.833845742
    0.102595629     0.829944581
    0.104469261     0.824961848
    0.106359880     0.819757842
    0.108102256     0.814301448
    0.109662553     0.810235988
    0.111457406     0.805185998
    0.113432801     0.800250095
    0.115232005     0.794550719
    0.116559408     0.788763289
    0.118109689     0.783074012
    0.119446970     0.777469525
    0.120831584     0.771805377
    0.122177917     0.766464204
    0.123670399     0.760540966
    0.125152759     0.755092328
    0.126567960     0.750169141
    0.127832403     0.746072694
    0.129067529     0.741688245
    0.130346158     0.737604850
    0.131707709     0.733430166
    0.132674628     0.730216999
    0.133822447     0.725390780
    0.135027047     0.721262225
    0.136252764     0.716534190
    0.137221417     0.712225526
    0.138230779     0.708965176
    0.139425960     0.706360903
    0.140613938     0.702522490
    0.141740907     0.697935173
    0.142866929     0.693462296
    0.143937765     0.689720328
    0.144828951     0.686619005
    0.145738673     0.685022419
    0.146743780     0.682717783
    0.147599351     0.680557058
    0.148585094     0.679245254
    0.149445626     0.678184135
    0.150391623     0.676036017
    0.151283950     0.675608586
    0.152376447     0.674963405
    0.153337685     0.672958397
    0.154225008     0.671810597
    0.155238298     0.671078832
    0.155850845     0.670921899
    0.156786237     0.670968552
    0.157574376     0.670953247
    0.158510781     0.670979595
    0.159330617     0.670349197
    0.160111562     0.670626270
    0.160953546     0.671158189
    0.161573009     0.672078272
    0.162493850     0.672735563
    0.163431930     0.672289346
    0.164158482     0.672962139
    0.164829168     0.674613020
    0.165625789     0.673855998
    0.166402621     0.674815487
    0.167272689     0.674375376
    0.167848376     0.674808430
    0.168489168     0.676210240
    0.169318097     0.675254812
    0.170214284     0.676486882
    0.170922236     0.676984129
    0.171656329     0.676658687
    0.172424911     0.676374220
    0.173109290     0.676257934
    0.173670279     0.677743655
    0.174335214     0.677526338
    0.175087629     0.678999169
    0.175703420     0.679508658
    0.176482822     0.679948752
    0.177178793     0.681402024
    0.177727034     0.681630370
    0.178330986     0.681700611
    0.179040139     0.681495150
    0.179696601     0.682770035
    0.180347711     0.683083673
    0.181014947     0.682820048
    0.181747621     0.683395958
    0.182436067     0.684708324
    0.183027869     0.685099603
    0.183652082     0.685754875
    0.184193664     0.686646236
    0.184715551     0.688313747
    0.185396911     0.689493613
    0.185998065     0.688955015
    0.186623113     0.691471467
    0.187208742     0.692146923
    0.187864333     0.693785234
    0.188490278     0.696166092
    0.189034644     0.696035396
    0.189635824     0.698132336
    0.190176090     0.698514701
    0.190843245     0.700037779
    0.191386927     0.700883865
    0.191864893     0.701936595
    0.192587148     0.703644533
    0.193256189     0.705392339
    0.193709636     0.705898180
    0.194152925     0.706686031
    0.194721958     0.708973262
    0.195318739     0.709470791
    0.195783933     0.710966267
    0.196219889     0.713259263
    0.196767701     0.714011952
    0.197342827     0.715449326
    0.197957021     0.717573395
    0.198523621     0.719317983
    0.199109383     0.720640798
    0.199669431     0.722307471
    0.200135074     0.724272324
    0.200626299     0.724772901
    0.201206441     0.727208590
    0.201729576     0.728535803
    0.202323235     0.730181749
    0.202850174     0.732709395
    0.203354347     0.733013223
    0.203800424     0.733534644
    0.204276458     0.735040285
    0.204743217     0.735889807
    0.205197844     0.735286655
    0.205835222     0.736172808
    0.206365194     0.737249308
    0.206813652     0.737481511
    0.207202016     0.737325154
    0.207693240     0.737174531
    0.208063706     0.736168667
    0.208526601     0.734482333
    0.209050210     0.735498511
    0.209657505     0.737083845
    0.210104859     0.738174341
    0.210566751     0.738152237
    0.211060945     0.737147297
    0.211637541     0.735382153
    0.212052597     0.735491818
    0.212523308     0.736065893
    0.212974547     0.736375926
    0.213395624     0.735241692
    0.213857700     0.735593728
    0.214218369     0.733748256
    0.214625639     0.732465245
    0.215115448     0.732798862
    0.215724457     0.732113225
    0.216251096     0.729211700
    0.216696925     0.727366326
    0.217197708     0.726324215
    0.217596231     0.724526267
    0.218029560     0.722400207
    0.218384912     0.720935364
    0.218813487     0.720264220
    0.219301294     0.718062699
    0.219746920     0.715940720
    0.220130313     0.714008890
    0.220552141     0.713401899
    0.221056148     0.711532765
    0.221444458     0.709271875
    0.221842341     0.707862576
    0.222365249     0.705181576
    0.222764655     0.704045540
    0.223154237     0.702430293
    0.223536303     0.699402320
    0.223837155     0.698995813
    0.224207604     0.697467098
    0.224667655     0.694903467
    0.225132016     0.692915008
    0.225498130     0.691623542
    0.225888509     0.690568787
    0.226346703     0.687333386
    0.226799733     0.685703269
    0.227221460     0.683830285
    0.227670380     0.680859673
    0.228081510     0.680661965
    0.228534644     0.676278442
    0.228900862     0.672583678
    0.229289443     0.668566406
    0.229755567     0.666653349
    0.230217514     0.663571088
    0.230675615     0.661236555
    0.231068512     0.659569850
    0.231394376     0.658280225
    0.231746916     0.656684917
    0.232106442     0.655270126
    0.232515667     0.652463035
    0.232867286     0.652343833
    0.233176175     0.649664309
    0.233604878     0.647023322
    0.234063846     0.646500592
    0.234396512     0.644664687
    0.234770977     0.642487766
    0.235151638     0.639901155
    0.235610097     0.636453053
    0.235909761     0.635609129
    0.236191181     0.634260512
    0.236512716     0.634158308
    0.236882891     0.631443624
    0.237231219     0.629929835
    0.237583545     0.626566828
    0.237952205     0.624556571
    0.238410728     0.622541678
    0.238833570     0.620383600
    0.239313903     0.618888716
    0.239695200     0.616224642
    0.240044640     0.614322395
    0.240375038     0.611918832
    0.240748151     0.610231770
    0.241083580     0.608627959
    0.241377740     0.605485762
    0.241684619     0.602339641
    0.242180074     0.600067159
    0.242586993     0.598688824
    0.242940493     0.597985596
    0.243241051     0.594565612
    0.243631796     0.592575799
    0.243932026     0.591111618
    0.244296695     0.588180753
    0.244663837     0.585141695
    0.245016360     0.581351440
    0.245392992     0.580222440
    0.245803869     0.579689513
    0.246079581     0.577573576
    0.246465922     0.573598277
    0.246736492     0.572067867
    0.247059931     0.567808580
    0.247498643     0.563799889
    0.247865232     0.562770113
    0.248184931     0.559740042
    0.248432170     0.557800342
    0.248731698     0.555573910
    0.249108796     0.553522193
    0.249478491     0.552142132
    0.249795566     0.548488865
    0.250177207     0.546695385
    0.250436747     0.543117571
    0.250790884     0.541652153
    0.251136471     0.539476204
    0.251423564     0.534974970
    0.251741766     0.529653369
    0.252012018     0.524667678
    0.252332520     0.521720768
    0.252744597     0.517248594
    0.253118670     0.513956931
    0.253402908     0.510224154
    0.253698407     0.507658011
    0.254047831     0.503785078
    0.254441905     0.501443577
    0.254750166     0.497190239
    0.255030940     0.492870180
    0.255346570     0.489381694
    0.255655408     0.483163179
    0.256001986     0.476385539
    0.256343841     0.471007953
    0.256656906     0.466021563
    0.256974904     0.460792106
    0.257368928     0.454392185
    0.257699767     0.448044821
    0.258067420     0.444349213
    0.258398259     0.437283354
    0.258749897     0.432612693
    0.259055826     0.428753900
    0.259385993     0.425373712
    0.259649018     0.418107559
    0.259909265     0.413365590
    0.260180669     0.407684080
    0.260446960     0.400108324
    0.260803771     0.393398719
    0.261107523     0.386561298
    0.261381561     0.380549529
    0.261690907     0.373123562
    0.262031216     0.365866765
    0.262394466     0.360403378
    0.262721306     0.354065717
    0.262938843     0.347098755
    0.263206667     0.339698263
    0.263474892     0.331607154
    0.263770847     0.327485766
    0.264056508     0.321170396
    0.264354868     0.315458894
    0.264621299     0.308897955
    0.264904688     0.301678665
    0.265134039     0.295983258
    0.265458482     0.289496972
    0.265850138     0.281294969
    0.266161931     0.272164449
    0.266459200     0.263487860
    0.266755808     0.255885569
    0.267099505     0.250146336
    0.267437822     0.242347601
    0.267732505     0.238271998
    0.268011862     0.230977890
    0.268363072     0.223473380
    0.268643734     0.216793673
    0.268899866     0.212666597
    0.269165889     0.205069301
    0.269383649     0.197853717
    0.269710606     0.189715971
    0.270042883     0.185452972
    0.270392153     0.178763133
    0.270735749     0.173511040
    0.270981897     0.166188130
    0.271201377     0.158655073
    0.271495652     0.151602159
    0.271780827     0.145034804
    0.272003562     0.136592270
    0.272307433     0.130469116
    0.272535894     0.124220443
    0.272836531     0.118741500
    0.273235229     0.113736314
    0.273565964     0.109468580
    0.273822254     0.103590717
    0.274022966     0.098466286
    0.274294702     0.092352611
    0.274604747     0.084315313
    0.274893880     0.080984631
    0.275133107     0.076914761
    0.275348755     0.071715395
    0.275593562     0.065970266
    0.275903460     0.063860263
    0.276210749     0.062091002
    0.276511844     0.057725227
    0.276784770     0.053574456
    0.277043466     0.050090540
    0.277241818     0.047181557
    0.277552486     0.043855944
    0.277939415     0.042405165
    0.278192553     0.040642131
    0.278457526     0.035286603
    0.278702018     0.032938099
    0.278933592     0.030553939
    0.279244673     0.030086247
    0.279552453     0.028458761
    0.279781868     0.024946413
    0.280015429     0.020306930
    0.280276598     0.016653669
    0.280517119     0.014989163
    0.280752155     0.011337527
    0.281101334     0.009514650
    0.281324478     0.008020906
    0.281587050     0.007620259
    0.281903584     0.006258834
    0.282162065     0.004011929
    0.282428356     0.004577763
    0.282653811     0.003594874
    0.282920991     0.002446350
    0.283146846     0.000725344
    0.283437909     0.000468680
    0.283735166     0.000101928
    0.283985416     0.000128524
    0.284233207    -0.000244971
    0.284511750    -0.002341879
    0.284788953    -0.000790363
    0.285070054     0.001554378
    0.285381856     0.000833382
    0.285618943     0.000373251
    0.285819996     0.000633545
    0.286056641     0.002527926
    0.286317837     0.003215483
    0.286565460     0.003233993
    0.286867482     0.003969905
    0.287123796     0.005276009
    0.287390582     0.004567384
    0.287632896     0.003807442
    0.287906612     0.005675525
    0.288169326     0.005523686
    0.288388222     0.006359217
    0.288676678     0.007009188
    0.288960351     0.008366082
    0.289156544     0.010838321
    0.289408427     0.012012997
    0.289663719     0.014228545
    0.289908709     0.016054086
    0.290147767     0.016505716
