    1/resolution    CC
    0.041824552     0.850840395
    0.052018207     0.851284447
    0.059416002     0.852134825
    0.064948739     0.851206135
    0.069799746     0.850832867
    0.074364460     0.851946642
    0.077885199     0.848740506
    0.081458035     0.846654042
    0.084594437     0.844852815
    0.087715679     0.841005891
    0.090554696     0.837156147
    0.093217890     0.832413571
    0.095457926     0.829315795
    0.097722756     0.825082175
    0.100317055     0.823858648
    0.102392545     0.818282538
    0.104403494     0.812690357
    0.106491618     0.807604965
    0.108344284     0.804415542
    0.110331328     0.800583949
    0.111866751     0.794915890
    0.113512181     0.789404561
    0.115234936     0.784183539
    0.117176513     0.778697990
    0.118746560     0.772233755
    0.120274762     0.765185194
    0.121810681     0.758733308
    0.123147876     0.752426355
    0.124585442     0.744327331
    0.126032033     0.737427640
    0.127195804     0.731345806
    0.128816638     0.725156135
    0.130026996     0.717937808
    0.131310833     0.710557761
    0.132711606     0.702044532
    0.133887302     0.695813413
    0.135282106     0.689949541
    0.136383636     0.683173469
    0.137466597     0.676642418
    0.138578643     0.671118382
    0.139746136     0.665242292
    0.141061436     0.659419017
    0.142112488     0.652490285
    0.143073949     0.648077452
    0.143943045     0.643473182
    0.145113544     0.638268303
    0.146144501     0.634099182
    0.147239293     0.628861546
    0.148486938     0.624571465
    0.149599047     0.619979235
    0.150514569     0.615447060
    0.151404630     0.611925483
    0.152204469     0.608143864
    0.153018822     0.605407101
    0.154021757     0.602552809
    0.154938472     0.599214795
    0.155983164     0.595666554
    0.156998696     0.593578052
    0.157796946     0.591200415
    0.158588298     0.590034235
    0.159458448     0.587414477
    0.160329858     0.583950210
    0.161173382     0.580509380
    0.162182792     0.578289385
    0.162867964     0.576087638
    0.163655485     0.574779926
    0.164610162     0.573739451
    0.165583724     0.573590406
    0.166355641     0.572112290
    0.167122434     0.571792724
    0.167877266     0.571515115
    0.168583088     0.570474619
    0.169274561     0.570197548
    0.170051847     0.569875746
    0.170759000     0.568706444
    0.171526465     0.569295764
    0.172312555     0.568473224
    0.173089390     0.568629212
    0.173882283     0.569357350
    0.174551784     0.568855657
    0.175294793     0.569179569
    0.176109943     0.570416738
    0.176726534     0.572404032
    0.177269851     0.573213713
    0.178095974     0.577928975
    0.178838098     0.578977214
    0.179477819     0.580304789
    0.180422540     0.581651530
    0.181144700     0.585174408
    0.181675648     0.587770141
    0.182250084     0.590558180
    0.182881827     0.593000731
    0.183534803     0.594327142
    0.184073493     0.596068484
    0.184871994     0.599647721
    0.185623357     0.602768460
    0.186152304     0.604575560
    0.186698490     0.606591103
    0.187196394     0.610340023
    0.187909260     0.612388357
    0.188537924     0.616001765
    0.189303660     0.621124406
    0.189898423     0.624520426
    0.190565499     0.627509510
    0.191230404     0.631817388
    0.191734410     0.633938267
    0.192239657     0.635747140
    0.192953130     0.639744294
    0.193621457     0.642019545
    0.194143562     0.646084918
    0.194612947     0.649019000
    0.195216518     0.653288730
    0.195781719     0.656996788
    0.196431119     0.661053177
    0.197123744     0.664616524
    0.197830325     0.665830743
    0.198273989     0.669481078
    0.198704810     0.673184006
    0.199243143     0.676990995
    0.199767630     0.681055438
    0.200217443     0.683623748
    0.200737124     0.687693194
    0.201420300     0.690789065
    0.202031983     0.693519266
    0.202558755     0.694793535
    0.203032438     0.698527532
    0.203497922     0.702585587
    0.204126901     0.704569651
    0.204713430     0.708063965
    0.205280800     0.711249369
    0.205659063     0.714011200
    0.206160586     0.716362866
    0.206677677     0.718757934
    0.207195247     0.722296264
    0.207695980     0.724382510
    0.208278663     0.728986801
    0.208862383     0.730657546
    0.209419616     0.732278265
    0.209928301     0.735319096
    0.210517424     0.737116308
    0.211011173     0.736910449
    0.211527086     0.739266396
    0.211937884     0.739805123
    0.212267782     0.742993227
    0.212748709     0.744766837
    0.213242869     0.743969380
    0.213680592     0.745298563
    0.214131388     0.745160973
    0.214676163     0.747776188
    0.215182065     0.747367982
    0.215672125     0.747261134
    0.216240177     0.749326825
    0.216715408     0.747941273
    0.217134521     0.747875975
    0.217550058     0.745880811
    0.217944530     0.744158502
    0.218436539     0.742183564
    0.218812986     0.740952647
    0.219391671     0.738143529
    0.219827081     0.735571907
    0.220293211     0.733103706
    0.220739586     0.731305155
    0.221281814     0.733077388
    0.221796945     0.732953135
    0.222235095     0.730347933
    0.222658477     0.726029459
    0.223072842     0.724805034
    0.223537604     0.721645084
    0.224032326     0.719371961
    0.224350007     0.717119992
    0.224742745     0.713348096
    0.225254624     0.710009787
    0.225729955     0.708280952
    0.226149423     0.704956034
    0.226497295     0.704213364
    0.226955529     0.702757498
    0.227495963     0.699323742
    0.227892444     0.694930992
    0.228407620     0.688920129
    0.228755597     0.684612323
    0.229119115     0.682592436
    0.229536300     0.678486718
    0.229939795     0.674848365
    0.230321484     0.672229808
    0.230820800     0.667869159
    0.231199742     0.662478570
    0.231602914     0.657997896
    0.231932728     0.653343248
    0.232359711     0.650006956
    0.232747673     0.647153955
    0.233200054     0.643590532
    0.233613516     0.640725973
    0.234056307     0.635315227
    0.234521784     0.632757210
    0.234897487     0.628325960
    0.235166726     0.622566938
    0.235532626     0.617205202
    0.236011175     0.613368013
    0.236379715     0.610367353
    0.236809146     0.604390202
    0.237259775     0.600791199
    0.237701775     0.597905338
    0.238028106     0.593773885
    0.238387203     0.592234803
    0.238839477     0.589911759
    0.239271981     0.587225713
    0.239554716     0.583684667
    0.239951824     0.580581610
    0.240422678     0.576297709
    0.240886030     0.575170264
    0.241323774     0.571408640
    0.241690030     0.566885814
    0.242021363     0.564467158
    0.242321393     0.560192166
    0.242656197     0.554453842
    0.243023584     0.551258738
    0.243351792     0.547441426
    0.243674765     0.545267841
    0.244053502     0.543270228
    0.244447640     0.540721042
    0.244781675     0.536167065
    0.245128924     0.532906337
    0.245544125     0.530447691
    0.245950313     0.527757810
    0.246282630     0.527047321
    0.246657733     0.526796941
    0.247054298     0.524758615
    0.247462290     0.520877915
    0.247783200     0.519218066
    0.248089079     0.517078356
    0.248400479     0.517920461
    0.248726054     0.515511831
    0.249105101     0.512159427
    0.249503899     0.511163805
    0.249980516     0.508215179
    0.250373713     0.508806799
    0.250700863     0.508387941
    0.251052441     0.508800901
    0.251419314     0.506850634
    0.251759035     0.506171695
    0.252085381     0.504920180
    0.252420122     0.504554218
    0.252698984     0.502055585
    0.252984427     0.502150585
    0.253334073     0.499493169
    0.253731442     0.495886870
    0.254115161     0.496214746
    0.254458717     0.496605807
    0.254761511     0.494769583
    0.255110036     0.490351970
    0.255430147     0.489247327
    0.255739127     0.488002827
    0.256077483     0.485535268
    0.256505892     0.483855187
    0.256907664     0.480861361
    0.257227544     0.480397340
    0.257611712     0.479302962
    0.257968785     0.479747318
    0.258287354     0.480073796
    0.258542515     0.480941891
    0.258860408     0.479892180
    0.259178247     0.478316912
    0.259574989     0.477971900
    0.259835852     0.475033614
    0.260218539     0.473448122
    0.260505800     0.471517890
    0.260777748     0.471982415
    0.261075707     0.471773093
    0.261361278     0.472329532
    0.261699010     0.470183650
    0.262032902     0.469208478
    0.262294164     0.469636589
    0.262541489     0.469220068
    0.262899178     0.468353662
    0.263306123     0.467336189
    0.263575141     0.463920517
    0.263863284     0.460112675
    0.264217850     0.460869074
    0.264577939     0.459849380
    0.264942756     0.461632944
    0.265235726     0.461625808
    0.265546284     0.458584647
    0.265957777     0.458574276
    0.266247762     0.459327224
    0.266593913     0.455097355
    0.266859737     0.455030998
    0.267164637     0.454050963
    0.267453505     0.454710190
    0.267783060     0.454794479
    0.268068494     0.453256429
    0.268352676     0.450757101
    0.268710905     0.447944252
    0.269005920     0.444022966
    0.269364987     0.440918364
    0.269635328     0.439435180
    0.269901996     0.436774133
    0.270194739     0.435760666
    0.270572563     0.435073054
    0.270864218     0.434958846
    0.271208208     0.434614537
    0.271468947     0.433343672
    0.271774745     0.432050669
    0.272043356     0.430018884
    0.272329299     0.430182116
    0.272537760     0.426202685
    0.272819375     0.422930127
    0.273191956     0.417581145
    0.273529805     0.416403302
    0.273816016     0.412207314
    0.274106337     0.409848487
    0.274399995     0.405813863
    0.274712553     0.403658073
    0.275007025     0.402116069
    0.275222042     0.400179297
    0.275460581     0.401054820
    0.275723309     0.401382114
    0.276073126     0.399771776
    0.276390836     0.398849440
    0.276728986     0.396534569
    0.277031189     0.394407627
    0.277311093     0.392262893
    0.277571729     0.392241232
    0.277895016     0.391233294
    0.278219848     0.389829867
    0.278492946     0.389184581
    0.278723186     0.384250532
    0.278946652     0.382176589
    0.279212328     0.381004470
    0.279493024     0.380740276
    0.279814515     0.380807441
    0.280015057     0.378755099
    0.280311262     0.373275768
    0.280603888     0.373740799
    0.280918917     0.374052832
    0.281144240     0.372052007
    0.281423560     0.372026983
    0.281782445     0.370050995
    0.282187100     0.367226035
    0.282463722     0.364278774
    0.282720770     0.365142387
    0.283002214     0.363600562
    0.283291065     0.361810328
    0.283519960     0.360200250
    0.283770011     0.358314206
    0.284024737     0.357844592
    0.284312014     0.357109040
    0.284617711     0.357590947
    0.284901638     0.354845244
    0.285150321     0.352646057
    0.285419343     0.351308278
    0.285749744     0.350538340
    0.286051125     0.348633652
    0.286307393     0.348788828
    0.286585086     0.346715533
    0.286813107     0.344006807
    0.287033851     0.344113738
    0.287219543     0.343546173
    0.287518797     0.343478643
    0.287759786     0.341431650
    0.288001098     0.340027644
    0.288284539     0.338344584
    0.288574395     0.337095036
    0.288862572     0.336700111
    0.289104082     0.335510034
    0.289429465     0.333982667
    0.289694467     0.333708705
    0.289950968     0.333804104
    0.290181212     0.333427321
