    1/resolution    CC
    0.031321868     0.872094037
    0.038546702     0.872377161
    0.043802644     0.872308653
    0.047817296     0.872459298
    0.051470803     0.873109913
    0.054581397     0.873696015
    0.057313704     0.874267080
    0.059799498     0.874985580
    0.062206539     0.874730627
    0.064515369     0.874277512
    0.066394955     0.874250218
    0.068259873     0.875089925
    0.070047990     0.874970792
    0.071939402     0.874395439
    0.073548408     0.875310705
    0.075268397     0.876069122
    0.076590691     0.876906415
    0.077922352     0.878652313
    0.079378422     0.878511648
    0.080909933     0.878791682
    0.082058992     0.879778868
    0.083436784     0.879713814
    0.084815263     0.879547057
    0.085939371     0.879599016
    0.086925422     0.879881233
    0.087954435     0.879747486
    0.089205270     0.879436788
    0.090366938     0.879934432
    0.091420821     0.879885615
    0.092384742     0.879822502
    0.093427559     0.879543020
    0.094453997     0.879448676
    0.095394818     0.879466397
    0.096316707     0.879517305
    0.097182297     0.879302861
    0.098292985     0.878812832
    0.099046257     0.878613944
    0.099917766     0.878537307
    0.100753340     0.878566187
    0.101583574     0.877925267
    0.102372918     0.878031142
    0.103262687     0.876584243
    0.104215160     0.876232999
    0.105043386     0.875094769
    0.105696192     0.873858030
    0.106438816     0.872060557
    0.107338313     0.870122745
    0.108044516     0.868802520
    0.108700580     0.868145700
    0.109413657     0.867879344
    0.110114801     0.865291858
    0.110796129     0.863304637
    0.111534862     0.861321556
    0.112358400     0.860428220
    0.112991960     0.858277249
    0.113589777     0.856157211
    0.114238078     0.853069391
    0.114966324     0.851641084
    0.115737433     0.848244665
    0.116389761     0.845090800
    0.117042586     0.842741257
    0.117650066     0.840045766
    0.118245919     0.837804713
    0.118777798     0.836093809
    0.119350455     0.833108605
    0.119957457     0.830148925
    0.120556254     0.827429606
    0.121181012     0.825586603
    0.121690310     0.822518716
    0.122242005     0.820948839
    0.122976177     0.819285993
    0.123659320     0.816655885
    0.124243801     0.814160904
    0.124738371     0.811205734
    0.125244746     0.808561212
    0.125882171     0.805286307
    0.126362444     0.803460446
    0.126864118     0.801167130
    0.127340323     0.798465321
    0.127928059     0.796796993
    0.128476948     0.794632712
    0.128953974     0.792142738
    0.129526185     0.789611083
    0.130122292     0.787112448
    0.130615536     0.784826693
    0.131074830     0.783025828
    0.131578764     0.781787433
    0.131989579     0.780311480
    0.132465218     0.778865269
    0.133028396     0.776511523
    0.133483538     0.774952408
    0.134004131     0.773276784
    0.134552107     0.771261449
    0.135082913     0.769094686
    0.135528213     0.767087891
    0.135883396     0.765376048
    0.136396269     0.764348943
    0.136841286     0.763003060
    0.137415736     0.762652772
    0.137935887     0.761770099
    0.138342428     0.760450537
    0.138718425     0.759672464
    0.139134334     0.759425775
    0.139630371     0.758778468
    0.140014538     0.757765205
    0.140508226     0.757131889
    0.141001093     0.755760160
    0.141376453     0.754996004
    0.141727822     0.753668831
    0.142132978     0.753075710
    0.142621111     0.753367164
    0.143078625     0.753295349
    0.143511418     0.752445117
    0.143952968     0.752775396
    0.144458814     0.753185765
    0.144832013     0.752274280
    0.145164452     0.750503732
    0.145577018     0.749507714
    0.145973750     0.748403701
    0.146341868     0.748892732
    0.146756226     0.748111938
    0.147220867     0.747514667
    0.147606491     0.746992816
    0.148065272     0.748156723
    0.148463820     0.748596906
    0.148988154     0.749723327
    0.149324881     0.749353303
    0.149692710     0.748507980
    0.150077271     0.748378313
    0.150451364     0.747433409
    0.150797298     0.746754115
    0.151095196     0.745985948
    0.151430554     0.746357542
    0.151783127     0.746138742
    0.152209366     0.745540444
    0.152631247     0.746246820
    0.152946584     0.746677067
    0.153341259     0.746823556
    0.153649324     0.746372091
    0.153993743     0.745535147
    0.154415496     0.746666231
    0.154864906     0.746137645
    0.155245369     0.746761682
    0.155596297     0.746458408
    0.156031905     0.746541375
    0.156353711     0.746667299
    0.156686585     0.747564854
    0.157037037     0.747798788
    0.157410608     0.747921634
    0.157808153     0.747643685
    0.158146524     0.746639977
    0.158449401     0.747113930
    0.158776165     0.747203658
    0.159098186     0.746734562
    0.159428558     0.745812207
    0.159726351     0.746599416
    0.160051873     0.747258719
    0.160455087     0.747438583
    0.160790201     0.746901647
    0.161113180     0.747451312
    0.161459224     0.747537460
    0.161802308     0.747794748
    0.162148997     0.747166801
    0.162462160     0.747036169
    0.162799399     0.746206735
    0.163096615     0.746296335
    0.163419886     0.747145313
    0.163720839     0.747785919
    0.164055199     0.747581279
    0.164414261     0.748064451
    0.164743391     0.748022509
    0.164985161     0.747698866
    0.165250340     0.748169057
    0.165734065     0.748652041
    0.166100817     0.749286367
    0.166345203     0.749519835
    0.166641567     0.750927526
    0.166973391     0.750876679
    0.167251959     0.751133650
    0.167556848     0.751756245
    0.167922587     0.752083640
    0.168133536     0.752729993
    0.168542141     0.753326234
    0.168880449     0.755077767
    0.169134508     0.755759433
    0.169494737     0.756239434
    0.169821981     0.756842720
    0.170082875     0.756771993
    0.170341200     0.757373564
    0.170612618     0.757541480
    0.170887366     0.758604488
    0.171222336     0.758743046
    0.171517645     0.759765825
    0.171746672     0.761141520
    0.172039495     0.762059329
    0.172327967     0.763367841
    0.172652677     0.764609056
    0.172909752     0.765365971
    0.173233918     0.766484291
    0.173578219     0.766813178
    0.173840844     0.767417011
    0.174149599     0.768613303
    0.174429305     0.770407019
    0.174734986     0.770982904
    0.175022909     0.771914216
    0.175271438     0.772630577
    0.175539231     0.772992490
    0.175802113     0.775051036
    0.176074401     0.775201765
    0.176404633     0.777091999
    0.176711703     0.778358570
    0.176962106     0.778947841
    0.177250735     0.780072862
    0.177567715     0.781299791
    0.177808911     0.781943926
    0.178033671     0.782955360
    0.178285107     0.783792884
    0.178556956     0.785965602
    0.178860296     0.787319386
    0.179157905     0.788413484
    0.179389852     0.788476875
    0.179728466     0.790041247
    0.179966307     0.791084560
    0.180246619     0.792734785
    0.180573649     0.792630012
    0.180794133     0.792595973
    0.181065842     0.791291537
    0.181361546     0.791338940
    0.181573227     0.792887319
    0.181871597     0.792886045
    0.182197505     0.792871729
    0.182413753     0.794564630
    0.182681704     0.795492239
    0.182897917     0.795332918
    0.183080282     0.796489304
    0.183262776     0.797599325
    0.183563396     0.797390377
    0.183929695     0.798046594
    0.184217199     0.798458278
    0.184445461     0.799566767
    0.184678479     0.800789987
    0.184946525     0.800603680
    0.185153276     0.801508084
    0.185375666     0.802299330
    0.185599185     0.802991180
    0.185798341     0.803743949
    0.186084208     0.804639423
    0.186381573     0.804793321
    0.186661698     0.805597682
    0.186947883     0.806207811
    0.187201467     0.806356123
    0.187411099     0.807163822
    0.187652024     0.807890591
    0.187884923     0.808343435
    0.188136777     0.809331415
    0.188459718     0.810304621
    0.188786150     0.810653023
    0.189037951     0.810656681
    0.189287967     0.810793312
    0.189518668     0.811161510
    0.189737793     0.811462302
    0.189966892     0.812297223
    0.190187707     0.812386139
    0.190384117     0.813298784
    0.190603897     0.813937373
    0.190858340     0.814764409
    0.191116089     0.815732420
    0.191337036     0.816569999
    0.191523504     0.817078189
    0.191768516     0.818180734
    0.191987512     0.819009375
    0.192224373     0.819594400
    0.192481756     0.820594415
    0.192704390     0.821351961
    0.192970847     0.821621357
    0.193210393     0.822383645
    0.193476628     0.823310203
    0.193711203     0.824390947
    0.193933016     0.825012782
    0.194173732     0.826565499
    0.194409226     0.827879637
    0.194611828     0.828269936
    0.194763504     0.828349700
    0.194963229     0.829236877
    0.195209768     0.829330390
    0.195442517     0.829930998
    0.195710808     0.830495308
    0.195944673     0.831324652
    0.196182916     0.832012986
    0.196383336     0.832392132
    0.196647960     0.832969475
    0.196855625     0.833649218
    0.197076750     0.834384258
    0.197276847     0.834414947
    0.197445233     0.834480532
    0.197725174     0.835289533
    0.197988522     0.835423614
    0.198193846     0.835831858
    0.198405203     0.836170692
    0.198695782     0.837207948
    0.198929572     0.837764856
    0.199153476     0.838429002
    0.199381862     0.839435470
    0.199605270     0.839685249
    0.199828523     0.840473231
    0.200011373     0.840569979
    0.200222898     0.841210361
    0.200430187     0.842102715
    0.200628152     0.842343857
